127.0.0.1 - - [29/Dec/2020:19:29:40 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [29/Dec/2020:19:29:41 +0530] "GET /Total/ HTTP/1.1" 200 1978
0:0:0:0:0:0:0:1 - - [29/Dec/2020:19:29:41 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [29/Dec/2020:19:29:53 +0530] "GET /Total/Session?Name1=AA HTTP/1.1" 200 60
0:0:0:0:0:0:0:1 - - [29/Dec/2020:19:29:55 +0530] "GET /Total/Session2 HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [29/Dec/2020:19:29:59 +0530] "GET /Total/F1.html HTTP/1.1" 200 2570
0:0:0:0:0:0:0:1 - - [29/Dec/2020:19:30:00 +0530] "GET /Total/imp? HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [29/Dec/2020:19:30:01 +0530] "GET /Total/imp? HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [29/Dec/2020:19:30:01 +0530] "GET /Total/imp? HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [29/Dec/2020:19:30:01 +0530] "GET /Total/imp? HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [29/Dec/2020:19:30:02 +0530] "GET /Total/imp? HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [29/Dec/2020:19:30:02 +0530] "GET /Total/imp? HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [29/Dec/2020:19:30:02 +0530] "GET /Total/imp? HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [29/Dec/2020:19:30:02 +0530] "GET /Total/imp? HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [29/Dec/2020:19:30:02 +0530] "GET /Total/imp? HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [29/Dec/2020:19:30:03 +0530] "GET /Total/imp? HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [29/Dec/2020:19:30:03 +0530] "GET /Total/imp? HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [29/Dec/2020:19:30:03 +0530] "GET /Total/imp? HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [29/Dec/2020:19:30:03 +0530] "GET /Total/imp? HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [29/Dec/2020:19:30:03 +0530] "GET /Total/imp? HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [29/Dec/2020:19:30:04 +0530] "GET /Total/imp? HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [29/Dec/2020:19:30:04 +0530] "GET /Total/imp? HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [29/Dec/2020:19:30:04 +0530] "GET /Total/imp? HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [29/Dec/2020:19:30:04 +0530] "GET /Total/imp? HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [29/Dec/2020:19:30:04 +0530] "GET /Total/imp? HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [29/Dec/2020:19:30:05 +0530] "GET /Total/imp? HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [29/Dec/2020:19:30:05 +0530] "GET /Total/imp? HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [29/Dec/2020:19:30:05 +0530] "GET /Total/imp? HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [29/Dec/2020:19:30:05 +0530] "GET /Total/imp? HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [29/Dec/2020:19:30:05 +0530] "GET /Total/imp? HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [29/Dec/2020:19:30:06 +0530] "GET /Total/imp? HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [29/Dec/2020:19:30:06 +0530] "GET /Total/imp? HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [29/Dec/2020:19:30:06 +0530] "GET /Total/imp? HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [29/Dec/2020:19:30:06 +0530] "GET /Total/imp? HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [29/Dec/2020:19:30:07 +0530] "GET /Total/imp? HTTP/1.1" 200 34
