127.0.0.1 - - [01/Jan/2021:18:24:10 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [01/Jan/2021:18:24:10 +0530] "GET /Total/ HTTP/1.1" 200 2061
0:0:0:0:0:0:0:1 - - [01/Jan/2021:18:24:11 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [01/Jan/2021:18:24:16 +0530] "GET /Total/First.jsp HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [01/Jan/2021:19:16:59 +0530] "GET /Total/First.jsp HTTP/1.1" 200 403
0:0:0:0:0:0:0:1 - - [01/Jan/2021:19:17:13 +0530] "GET /Total/First.jsp HTTP/1.1" 200 401
0:0:0:0:0:0:0:1 - - [01/Jan/2021:19:17:26 +0530] "GET /Total/First.jsp HTTP/1.1" 200 403
0:0:0:0:0:0:0:1 - - [01/Jan/2021:20:57:16 +0530] "GET /Total/First.jsp HTTP/1.1" 200 403
0:0:0:0:0:0:0:1 - - [01/Jan/2021:20:57:17 +0530] "GET /Total/First.jsp HTTP/1.1" 200 403
0:0:0:0:0:0:0:1 - - [01/Jan/2021:20:57:17 +0530] "GET /Total/First.jsp HTTP/1.1" 200 403
0:0:0:0:0:0:0:1 - - [01/Jan/2021:20:57:17 +0530] "GET /Total/First.jsp HTTP/1.1" 200 403
0:0:0:0:0:0:0:1 - - [01/Jan/2021:20:57:18 +0530] "GET /Total/First.jsp HTTP/1.1" 200 403
0:0:0:0:0:0:0:1 - - [01/Jan/2021:20:57:18 +0530] "GET /Total/First.jsp HTTP/1.1" 200 403
0:0:0:0:0:0:0:1 - - [01/Jan/2021:20:57:18 +0530] "GET /Total/First.jsp HTTP/1.1" 200 403
0:0:0:0:0:0:0:1 - - [01/Jan/2021:20:57:18 +0530] "GET /Total/First.jsp HTTP/1.1" 200 403
